,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
371,leona vicario,1,US,1579664221,81,34.64,-120.46,285.15,2.1
372,leona vicario,100,IT,1579664343,64,46.62,10.7,273.15,1.28
373,leona vicario,92,MV,1579664667,79,3.78,72.97,301.61,8.98
374,leona vicario,46,RU,1579664668,89,60.47,166.1,246.27,3.72
375,leona vicario,100,RU,1579664668,95,54.21,72.97,264.14,4.72
376,leona vicario,99,US,1579664350,80,41.28,-70.1,269.26,2.24
377,leona vicario,100,RU,1579664668,85,64.92,77.78,256.48,9.73
378,leona vicario,19,AU,1579664020,28,-23.7,133.88,308.15,4.6
379,leona vicario,100,YT,1579664668,88,-12.73,45.2,301.15,7.7
380,leona vicario,68,BF,1579664668,22,13.58,-2.42,297.3,3.95
381,leona vicario,0,CN,1579664408,36,38.93,100.45,269.97,2.93
382,leona vicario,0,CA,1579664668,91,49.63,-105.98,267.55,3.07
383,leona vicario,90,US,1579664669,72,21.5,-158.02,299.82,0.65
384,leona vicario,12,VU,1579664669,67,-16.1,167.42,300.27,5.08
385,leona vicario,40,BR,1579664351,83,-5.2,-35.46,299.15,1.0
386,leona vicario,90,US,1579664669,79,42.91,-85.79,273.15,4.6
387,leona vicario,4,US,1579664669,63,46.41,-105.84,274.82,1.34
388,leona vicario,40,AU,1579664207,55,-25.3,152.85,305.93,6.7
389,leona vicario,100,CD,1579664670,54,-0.22,20.87,294.73,0.97
390,leona vicario,6,NI,1579664670,90,13.93,-84.4,294.15,2.79
391,leona vicario,90,US,1579664257,100,57.05,-135.33,275.15,2.22
392,leona vicario,75,NC,1579664500,49,-22.28,166.46,305.15,6.7
393,leona vicario,41,RU,1579664670,92,58.31,48.35,268.69,3.47
394,leona vicario,100,RU,1579664670,93,47.89,134.95,262.7,5.29
395,leona vicario,90,ES,1579664670,93,43.36,-5.84,282.04,2.1
396,leona vicario,30,RU,1579664670,82,56.67,124.65,249.84,1.06
397,leona vicario,49,AR,1579664356,96,-26.79,-60.44,296.0,0.8
